pt_root_id,strategy,cell_type,Exc/Inh,num_synapses
864691136620192653,dendrite_extended,L5b,Exc,3749
864691135375430985,dendrite_extended,DTC,Inh,6859
864691136991390869,dendrite_extended,L5b,Exc,2622
864691135954021923,dendrite_extended,L5a,Exc,2855
864691135988769027,dendrite_extended,L3b,Exc,3061
864691135572576237,dendrite_extended,L2b,Exc,3966
864691136445215875,dendrite_extended,L2a,Exc,4932
864691136195400150,dendrite_extended,L2a,Exc,4322
864691135464263742,dendrite_extended,L5b,Exc,1956
864691134886404090,dendrite_extended,L4c,Exc,1792
864691136620195213,dendrite_extended,DTC,Inh,2777
864691135763795510,dendrite_extended,L4b,Exc,2548
864691136579127060,dendrite_extended,L5ET,Exc,11562
864691136110765496,dendrite_extended,DTC,Inh,2483
864691135890695049,dendrite_extended,L4b,Exc,1189
864691135578360837,dendrite_extended,L4a,Exc,2758
864691135517376211,dendrite_extended,L5ET,Exc,11047
864691135405138670,dendrite_extended,L4a,Exc,2962
864691135503182685,dendrite_extended,L5ET,Exc,11128
864691135569282284,dendrite_clean,DTC,Inh,8642
864691135464714565,dendrite_extended,L5ET,Exc,10147
864691135988742147,dendrite_extended,L4b,Exc,2307
864691135134155168,dendrite_clean,L3b,Exc,4584
864691135773209163,dendrite_extended,L4b,Exc,1591
864691136523288465,dendrite_extended,L4b,Exc,2074
864691136967703758,dendrite_extended,L3b,Exc,3176
864691136390183696,dendrite_extended,L4b,Exc,1827
864691135773208651,dendrite_extended,L4c,Exc,2438
864691136210847932,dendrite_extended,L4b,Exc,2038
864691136239460668,dendrite_extended,L6short-a,Exc,3350
864691135808982045,dendrite_extended,PTC,Inh,10177
864691135617551721,dendrite_extended,DTC,Inh,10610
864691136091074615,dendrite_extended,L4a,Exc,2822
864691136210848444,dendrite_extended,L4a,Exc,2163
864691135511861968,dendrite_extended,DTC,Inh,9281
864691135342941105,dendrite_extended,L3a,Exc,5835
864691135640544571,dendrite_extended,L5ET,Exc,10037
864691135996104618,dendrite_extended,PTC,Inh,12683
864691135346954143,dendrite_extended,DTC,Inh,8539
864691135801405282,dendrite_extended,PTC,Inh,13146
864691136040742142,dendrite_extended,PTC,Inh,11573
864691136012619939,dendrite_extended,DTC,Inh,6660
864691135782220112,dendrite_extended,L5ET,Exc,5091
864691136311213914,dendrite_extended,PTC,Inh,14193
864691135356428751,dendrite_extended,PTC,Inh,9501
864691135480090822,dendrite_extended,PTC,Inh,6940
864691135336108265,dendrite_clean,L4b,Exc,2194
864691136052876019,dendrite_extended,DTC,Inh,3768
864691135491853159,dendrite_extended,DTC,Inh,4572
864691135464946757,dendrite_extended,PTC,Inh,4029
864691135566168599,dendrite_extended,L5ET,Exc,6888
864691135928029652,dendrite_extended,L5a,Exc,4277
864691136210699964,dendrite_extended,PTC,Inh,13034
864691136813553523,dendrite_extended,PTC,Inh,5201
864691135993185985,dendrite_extended,PTC,Inh,5592
864691136335150259,dendrite_extended,L5ET,Exc,12166
864691135014276342,dendrite_extended,PTC,Inh,8813
864691135014601110,dendrite_extended,DTC,Inh,6583
864691135948123745,dendrite_extended,L5ET,Exc,10723
864691135773256443,dendrite_extended,PTC,Inh,3809
864691137055290998,dendrite_extended,DTC,Inh,3974
864691135702061947,dendrite_extended,L6short-b,Exc,3157
864691135384209131,dendrite_extended,PTC,Inh,4731
864691135271343525,dendrite_extended,ITC,Inh,3272
864691135276293349,dendrite_extended,PTC,Inh,4839
864691135640484411,dendrite_extended,PTC,Inh,8842
864691135941549825,dendrite_extended,L6short-b,Exc,1855
864691135386940245,dendrite_extended,ITC,Inh,3041
864691136913261297,dendrite_extended,DTC,Inh,6547
864691135989149187,dendrite_extended,L6short-a,Exc,2417
864691135566089495,dendrite_extended,ITC,Inh,2769
864691135384629483,dendrite_extended,L6short-a,Exc,3139
864691135816832591,dendrite_extended,L5ET,Exc,3819
864691135570863238,dendrite_extended,L5ET,Exc,10444
864691136119883288,dendrite_extended,Unknown,Unknown,3265
864691135335855337,dendrite_extended,L4b,Exc,2739
864691136298063387,dendrite_extended,L3a,Exc,4773
864691135970206821,dendrite_extended,L4a,Exc,4961
864691135502902338,dendrite_extended,L6short-a,Exc,2334
864691135594817067,dendrite_extended,L6tall-a,Exc,2459
864691136603171281,dendrite_extended,L4b,Exc,2972
864691135375590217,dendrite_extended,L4b,Exc,1885
864691136117626532,dendrite_extended,L4b,Exc,1500
864691135741659499,dendrite_extended,L4a,Exc,3162
864691135741684075,dendrite_extended,L4a,Exc,2416
864691135970497125,dendrite_extended,L5a,Exc,4049
864691136119885080,dendrite_extended,L3b,Exc,3879
864691135498992403,dendrite_extended,L4a,Exc,2215
864691135304679079,dendrite_extended,L3b,Exc,2463
864691135539491442,dendrite_extended,L4a,Exc,3506
864691135101431072,dendrite_extended,L2a,Exc,5207
864691135477670312,dendrite_extended,L4c,Exc,2298
864691135740865684,dendrite_extended,L4a,Exc,2942
864691135928020948,dendrite_extended,L5a,Exc,2625
864691136904488114,dendrite_extended,L5a,Exc,4373
864691135927494158,dendrite_extended,L3b,Exc,3363
