pt_root_id,strategy_axon_extended_curr,strategy_axon_extended_prev,strategy_axon,cell_type,in_column,curr_num_syn,prev_num_syn,shared_syns
864691136118618136,False,False,axon_interareal,L3b,False,274.0,274.0,274.0
864691135857099310,True,True,axon_partially_extended,L5a,False,919.0,919.0,919.0
864691135214160184,True,True,axon_partially_extended,ITC,True,320.0,320.0,320.0
864691135594657067,True,True,axon_partially_extended,PTC,True,2894.0,2894.0,2894.0
864691136238652476,True,True,axon_fully_extended,L5b,True,1804.0,1804.0,1804.0
864691135855860782,False,False,axon_interareal,L3a,False,31.0,31.0,31.0
864691135502190941,True,True,axon_partially_extended,PTC,True,2580.0,2580.0,2580.0
864691136109199800,True,True,axon_partially_extended,PTC,False,2421.0,2421.0,2421.0
864691136273370302,True,True,axon_partially_extended,L6short-a,True,791.0,791.0,791.0
864691135719761713,False,False,axon_interareal,L2c,False,136.0,136.0,136.0
864691135323237532,True,True,axon_partially_extended,ITC,True,359.0,359.0,359.0
864691135082074359,True,True,axon_partially_extended,L6tall-c,True,460.0,460.0,460.0
864691135565770007,True,True,axon_partially_extended,DTC,True,542.0,542.0,542.0
864691136904366770,True,True,axon_partially_extended,DTC,True,865.0,865.0,865.0
